Company,Skills,Description,Publish Date,Experience,Location
    Electrobrain modern technologies pvt ltd     (More Jobs) ,"                Data Science  ,  Python  ,  Matplotlib  ,  GIT  ,  Pandas  ,  AWS  ,  Numpy              ","card_travel2 - 7 yrs₹Rs 5.50 - 9.00 Lacs p.a.location_onAllahabad,  Ghaziabad,  Kanpur,  Lucknow,  Mathura",Posted a month ago,card_travel2 - 7 yrs,"Allahabad,  Ghaziabad,  Kanpur,  Lucknow,  Mathura"
    Sai Management Consultancy     (More Jobs) ,"Python  ,  API designs  ,  HTTP  ,  REST  ,  frameworks   ,  AWS   ,  ECS  ,  SNS  ,  S3  ,  RDS  ,  JavaScript   ,  AngularJS   ,  developer  ,  Ahmedabad  ,  software  ,  web developer  ,  writing code  ,  automating test  ,  IT              ",card_travel3 - 8 yrslocation_onAhmedabad,Posted a month ago,card_travel3 - 8 yrs,Ahmedabad
    Vtekis Consulting LLP     (More Jobs) ,"                web framework Django  ,   Django Rest Framework   ,  Python  ,   &  JS ON API development  ,  Rabbit MQ  ,  Datapower              ","card_travel0 - 1 yrs₹Rs 8.00 - 9.00 Lacs p.a.location_onAhmedabad,  Bengaluru / Bangalore,  Hyderabad/Secunderabad,  Mumbai,  Noida/Greater Noida",Posted a month ago,card_travel0 - 1 yrs,"Ahmedabad,  Bengaluru / Bangalore,  Hyderabad/Secunderabad,  Mumbai,  Noida/Greater Noida"
    Ossisto Technologies        ,"                rest  ,  python  ,  javascript  ,  jquery  ,  nosql  ,  react.js  ,  database  ,  node.js  ,  security  ,  django  ,  git  ,  devops  ,  api  ,  mongodb              ",card_travel5 - 8 yrslocation_onBengaluru / Bangalore,Posted few days ago,card_travel5 - 8 yrs,Bengaluru / Bangalore
    Blue Stone consultancy     (More Jobs) ,python,card_travel4 - 9 yrslocation_onHyderabad/Secunderabad,Posted few days ago,card_travel4 - 9 yrs,Hyderabad/Secunderabad
    3RI Technologies Pvt Ltd        ,"python  ,  security  ,  django              ",card_travel0 - 3 yrslocation_onPune,Posted 3 days ago,card_travel0 - 3 yrs,Pune
    Maxgen Technologies     (More Jobs) ,                core python,"card_travel0 - 1 yrslocation_onAhmedabad,  Bhavnagar,  Gandhinagar,  Jamnagar,  Mehsana",Posted few days ago,card_travel0 - 1 yrs,"Ahmedabad,  Bhavnagar,  Gandhinagar,  Jamnagar,  Mehsana"
    Maxgen Technologies     (More Jobs) ,"python  ,  Python Scripting              ","card_travel0 - 1 yrslocation_onPune,  Jalgaon,  Kolhapur,  Nagpur,  Solapur",Posted 1 day ago,card_travel0 - 1 yrs,"Pune,  Jalgaon,  Kolhapur,  Nagpur,  Solapur"
    HARMAN INTERNATIONAL        ,"python  ,  os  ,  linux  ,  middleware              ",card_travel1 - 4 yrslocation_onBengaluru / Bangalore,Posted 5 days ago,card_travel1 - 4 yrs,Bengaluru / Bangalore
    Spectrum Softtech Solutions Pvt Ltd        ,"Python  ,   Django Domains  ,   excellent knowledge              ",card_travel0 - 1 yrslocation_onCochin/ Kochi/ Ernakulam,Posted 1 day ago,card_travel0 - 1 yrs,Cochin/ Kochi/ Ernakulam
    Brainvire Infotech        ,"python  ,  oops  ,  project delivery  ,  sql              ",card_travel3 - 7 yrslocation_onAhmedabad,Posted 1 day ago,card_travel3 - 7 yrs,Ahmedabad
    AbsolutData Research & Analytics  ( P )  Ltd        ,"python  ,  problem solving  ,  infrastructure  ,  mysql              ",card_travel4 - 6 yrslocation_onGurgaon,Posted 2 days ago,card_travel4 - 6 yrs,Gurgaon
    rackspace technology        ,"python  ,  security  ,  Firewalls  ,  Kubernetes              ",card_travel0 - 3 yrslocation_onMexico,Posted few days ago,card_travel0 - 3 yrs,Mexico
    Itvedant Education Pvt. Ltd.        ,"python  ,  problem solving  ,   Analytical Skills              ",card_travel2 - 3 yrslocation_onThane,Posted 6 days ago,card_travel2 - 3 yrs,Thane
    HARMAN INTERNATIONAL        ,"python  ,  team player  ,  git  ,  oops  ,  linux  ,  debugging              ",card_travel5 - 6 yrslocation_onBengaluru / Bangalore,Posted 1 day ago,card_travel5 - 6 yrs,Bengaluru / Bangalore
    Maxgen Technologies     (More Jobs) ,"python  ,  Django  ,  web development              ","card_travel0 - 1 yrslocation_onAhmedabad,  Mehsana,  Rajkot,  Surat,  Surendranagar",Posted few days ago,card_travel0 - 1 yrs,"Ahmedabad,  Mehsana,  Rajkot,  Surat,  Surendranagar"
    TandA HR Solutions        ,"                hive  ,  python  ,  hadoop  ,  sql              ",card_travel2 - 5 yrslocation_onBengaluru / Bangalore,Posted few days ago,card_travel2 - 5 yrs,Bengaluru / Bangalore
    Fingent        ,"python  ,  database  ,  django  ,  postgresql  ,  linux  ,  mysql              ",card_travel6 - 9 yrslocation_onNew York City,Posted 4 days ago,card_travel6 - 9 yrs,New York City
    TECHNOPARK TRIVANDRUM        ,"python  ,  database  ,  django  ,  postgresql  ,  linux  ,  mysql              ",card_travel6 - 9 yrslocation_onThiruvananthapuram,Posted 4 days ago,card_travel6 - 9 yrs,Thiruvananthapuram
    Maxgen Technologies     (More Jobs) ,"python   ,  Artificial Intelligence              ","card_travel0 - 1 yrslocation_onPune,  Amravati,  Aurangabad,  Sangli,  Satara",Posted 2 days ago,card_travel0 - 1 yrs,"Pune,  Amravati,  Aurangabad,  Sangli,  Satara"
    unifylabs systems pvt ltd        ,"python  ,  django  ,  git  ,  mysql  ,  mvc              ","card_travel5 - 6 yrslocation_onMysoru / Mysore,  Bengaluru / Bangalore",Posted few days ago,card_travel5 - 6 yrs,"Mysoru / Mysore,  Bengaluru / Bangalore"
    Maxgen Technologies     (More Jobs) ,"                core python  ,  django              ","card_travel0 - 1 yrslocation_onPune,  Jalgaon,  Kolhapur,  Nagpur,  Solapur",Posted 3 days ago,card_travel0 - 1 yrs,"Pune,  Jalgaon,  Kolhapur,  Nagpur,  Solapur"
    Emerinter Consultancy Services        ,"python  ,  java  ,  c#  ,  python  ,  oracle  ,  javascript  ,                ",card_travel0 - 3 yrslocation_onCochin/ Kochi/ Ernakulam,Posted few days ago,card_travel0 - 3 yrs,Cochin/ Kochi/ Ernakulam
    The Edge Asia        ,"python  ,  django  ,  debugging              ",card_travel0 - 3 yrslocation_onBengaluru / Bangalore,Posted few days ago,card_travel0 - 3 yrs,Bengaluru / Bangalore
    CLOUD VISA IMMIGRATION LLP     (More Jobs) ,"python developer  ,  software developer  ,  Python Scripting  ,  python",card_travel3 - 8 yrs₹Rs 35.00 - 50.00 Lacs p.a.location_onCanada,Posted a month ago,card_travel3 - 8 yrs,Canada
    RDA Labs        ,"python  ,  c    ,  java  ,  scala  ,  problem solving              ",card_travel3 - 6 yrslocation_onBengaluru / Bangalore,Posted few days ago,card_travel3 - 6 yrs,Bengaluru / Bangalore
    Tanla Solutions Ltd        ,"                c    ,  python  ,  django  ,  mysql  ,  sql              ","card_travel2 - 4 yrslocation_onHyderabad/Secunderabad,  Chennai,  Bengaluru / Bangalore",Posted few days ago,card_travel2 - 4 yrs,"Hyderabad/Secunderabad,  Chennai,  Bengaluru / Bangalore"
    GLOINNT Solutions Pvt. Ltd.        ,"python  ,  problem solving  ,  storage              ","card_travel3 - 5 yrslocation_onMumbai,  Pune,  Bengaluru / Bangalore",Posted few days ago,card_travel3 - 5 yrs,"Mumbai,  Pune,  Bengaluru / Bangalore"
    TECHNOPARK TRIVANDRUM        ,"python  ,  docker  ,  sql  ,  nosql  ,  apache  ,  git  ,  postgresql  ,  web development  ,  mysql              ",card_travel3 - 6 yrslocation_onThiruvananthapuram,Posted 3 days ago,card_travel3 - 6 yrs,Thiruvananthapuram
    Schneider Electric Pvt Ltd        ,"python  ,  machine learning  ,  artificial intelligence  ,  devops              ",card_travel0 - 3 yrslocation_onFrance,Posted few days ago,card_travel0 - 3 yrs,France
    Aptence        ,"Python  ,   Django  ,  Web development              ",card_travel0 - 3 yrslocation_onNoida/Greater Noida,Posted few days ago,card_travel0 - 3 yrs,Noida/Greater Noida
    Comake IT software Pvt Ltd        ,"python  ,  messaging  ,  oop  ,  middleware              ",card_travel8 - 11 yrslocation_onHyderabad/Secunderabad,Posted few days ago,card_travel8 - 11 yrs,Hyderabad/Secunderabad
    JobsLo Consultants        ,"Python  ,  Quality   ,  Stakeholder Management              ",card_travel6 - 9 yrslocation_onBengaluru / Bangalore,Posted few days ago,card_travel6 - 9 yrs,Bengaluru / Bangalore
    TeXByte Solutions        ,"python  ,  css  ,  linux  ,  javascript              ",card_travel0 - 3 yrslocation_onCochin/ Kochi/ Ernakulam,Posted few days ago,card_travel0 - 3 yrs,Cochin/ Kochi/ Ernakulam
    APPLYCUP HIRING SOLUTIONS LLP        ,"python  ,  java  ,  oracle  ,  .net              ",card_travel0 - 1 yrslocation_onChennai,Posted few days ago,card_travel0 - 1 yrs,Chennai
    brickred  ( 3pillar global )        ,"python  ,  rest api  ,  sql  ,  django              ",card_travel0 - 3 yrslocation_on,Posted few days ago,card_travel0 - 3 yrs,
    QuEST Global Engineering Pvt Ltd        ,"                rest  ,  python  ,  data structures  ,  sql              ",card_travel4 - 7 yrslocation_onBengaluru / Bangalore,Posted few days ago,card_travel4 - 7 yrs,Bengaluru / Bangalore
    elektrobit india private limited        ,"                java  ,  c#  ,  python  ,  git  ,  testing tools  ,  debugging  ,  perl  ,  cloud computing  ,  junit  ,  svn  ,  infrastructure              ",card_travel0 - 3 yrslocation_onBengaluru / Bangalore,Posted 1 day ago,card_travel0 - 3 yrs,Bengaluru / Bangalore
    AFour Technologies        ,"python  ,  security  ,  iam  ,  api  ,  technical skills  ,  gateway              ",card_travel0 - 3 yrslocation_onPune,Posted few days ago,card_travel0 - 3 yrs,Pune
    ENVERUS        ,"                algorithms  ,  python  ,  sql  ,  docker  ,  software engineer  ,  mysql              ",card_travel4 - 7 yrslocation_on,Posted few days ago,card_travel4 - 7 yrs,
    Jump Trading        ,"python  ,  data mining  ,  infrastructure  ,  linux  ,  software engineer              ",card_travel0 - 3 yrslocation_onSingapore,Posted few days ago,card_travel0 - 3 yrs,Singapore
    crescendo global        ,"                algorithms  ,  bi  ,  artificial intelligence  ,  sql  ,  python  ,  c  ,  machine learning  ,  javascript              ",card_travel5 - 8 yrslocation_onBengaluru / Bangalore,Posted 6 days ago,card_travel5 - 8 yrs,Bengaluru / Bangalore
    Bosch Ltd        ,"                software design  ,  git  ,  xml  ,  oops  ,  python  ,  c  ,  svn  ,  clearcase              ","card_travel3 - 5 yrslocation_onHosur,  Bengaluru / Bangalore",Posted 6 days ago,card_travel3 - 5 yrs,"Hosur,  Bengaluru / Bangalore"
    CareerXperts Consulting        ,"                security  ,  devops  ,  software engineering  ,  technical skills  ,  python  ,  github  ,  c              ",card_travel5 - 8 yrslocation_onBengaluru / Bangalore,Posted 6 days ago,card_travel5 - 8 yrs,Bengaluru / Bangalore
    elektrobit india private limited        ,"                java  ,  c#  ,  python  ,  git  ,  testing tools  ,  debugging  ,  perl  ,  cloud computing  ,  junit  ,  svn  ,  infrastructure              ",card_travel0 - 3 yrslocation_onBengaluru / Bangalore,Posted 2 days ago,card_travel0 - 3 yrs,Bengaluru / Bangalore
    elektrobit india private limited        ,"                java  ,  c#  ,  python  ,  git  ,  testing tools  ,  debugging  ,  perl  ,  cloud computing  ,  junit  ,  svn  ,  infrastructure              ",card_travel0 - 3 yrslocation_onBengaluru / Bangalore,Posted 2 days ago,card_travel0 - 3 yrs,Bengaluru / Bangalore
    young minds technology solutions pvt ltd        ,"python  ,  information technology  ,  java  ,  written communication              ",card_travel0 - 3 yrslocation_onTirupati,Posted few days ago,card_travel0 - 3 yrs,Tirupati
    CONNECTING 2 WORK        ,"python  ,  css  ,  software design  ,  django  ,  git  ,  linux  ,  html              ",card_travel3 - 6 yrslocation_onPalakkad,Posted few days ago,card_travel3 - 6 yrs,Palakkad
    barco india        ,"                conference  ,  git  ,  devops  ,  linux  ,  rest  ,  python  ,  c  ,  mobile  ,  svn  ,  team player  ,  windows  ,  django              ",card_travel6 - 10 yrslocation_onNoida/Greater Noida,Posted 1 day ago,card_travel6 - 10 yrs,Noida/Greater Noida
    Maxgen Technologies     (More Jobs) ,"python  ,  Artificial Intelligence              ","card_travel0 - 1 yrslocation_onAhmedabad,  Mehsana,  Rajkot,  Surat,  Surendranagar",Posted 2 days ago,card_travel0 - 1 yrs,"Ahmedabad,  Mehsana,  Rajkot,  Surat,  Surendranagar"
